Ticker,EBITDA,Total.Debt,Free.Cash.Flow,Gross.Profit.Margin,Operating.Margin,Net.Profit.Margin,Return.on.Equity,Return.on.Assets,Free.Cash.Flow.to.Net.Income,Current.Ratio,Liabilities.to.Equity.Ratio,Debt.Ratio,Earnings.Per.Share..Basic,Earnings.Per.Share..Diluted,Sales.Per.Share,Equity.Per.Share,Free.Cash.Flow.Per.Share,Dividends.Per.Share,Pietroski.F.Score,Economic growth: the rate of change of real GDP,GDP per capita current U.S. dollars,Inflation: percent change in the Consumer Price Index,Unemployment rate,Net portfolio equity inflows,Economic growth forecast,Inflation forecast,Unemployment rate forecast,Political stability index (-2.5 weak; 2.5 strong),1_year_results,3_year_results,6_year_results
A,758000000.0,2699000000.0,544000000.0,0.48973,0.09913,0.1885,0.13878,0.06869,0.74114,3.11049,1.02042,0.25257,2.15249,2.12754,11.41935,15.50147,1.59531,0.45748,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-26.98,-5.4,28.69
AAON,68115000.0,0.0,81141000.0,0.2796,0.17377,0.11692,0.2288,0.17428,2.16105,3.07805,0.31283,0.0,0.6812,0.67546,5.82629,2.9773,1.4721,0.13476,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,26.05,91.73,150.75
AAP,868113000.0,1053584000.0,855526000.0,0.50081,0.10168,0.06033,0.25838,0.0704,2.18381,1.44293,2.6702,0.18933,5.3717,5.33628,89.04174,20.78987,11.73078,0.24097,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,22.37,21.41,-23.88
AAPL,55756000000.0,16960000000.0,66276000000.0,0.37624,0.28669,0.2167,0.29978,0.17892,1.78945,1.67864,0.67545,0.08193,1.42949,1.41977,6.59648,4.76852,2.558,0.40773,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,61.43,80.66,227.58
ABC,1092659000.0,1396606000.0,1083244000.0,0.02851,0.01048,0.00493,0.18696,0.02292,2.49764,0.96792,7.15548,0.07382,1.87698,1.84286,380.66521,10.03927,4.68801,0.84701,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,73.32,32.91,24.89
ABM,164700000.0,314900000.0,147900000.0,0.10472,0.02378,0.01646,0.07946,0.0344,2.02881,1.70029,1.30975,0.14859,1.32787,1.29947,80.65209,16.7122,2.69399,0.59927,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,12.24,52.48,-24.73
ABT,3852000000.0,6561000000.0,1523000000.0,0.53233,0.10851,0.13105,0.10195,0.05997,0.59123,2.02451,0.69996,0.15275,1.6534,1.63659,12.61682,16.15597,0.97754,0.56611,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,20.91,15.51,101.04
ACN,4931708000.0,25600000.0,4475718000.0,0.30875,0.14275,0.10798,0.60464,0.19457,1.36377,1.45132,2.10751,0.00152,5.08395,4.60072,47.08372,7.68381,6.93333,1.73768,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,17.24,48.21,105.97
ADI,863491000.0,872241000.0,1063103000.0,0.6426,0.28594,0.25572,0.1421,0.10553,1.57851,9.59213,0.34648,0.13668,2.18833,2.14458,8.55752,15.40008,3.45429,1.31905,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,8.87,53.47,69.12
ADM,3039000000.0,6870000000.0,6137000000.0,0.04331,0.02372,0.01494,0.06646,0.03067,4.57303,1.82207,1.16658,0.15702,2.03026,2.02413,135.86082,30.49319,9.28442,0.75794,7,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,8.13,6.14,-21.73
ADP,1918700000.0,14700000.0,1928500000.0,0.40965,0.1766,0.14889,0.22711,0.04357,1.37182,1.05991,4.21302,0.00046,2.91237,2.88606,19.5608,12.82349,3.99524,1.66874,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,10.9,35.08,71.41
ADTN,63093000.0,60843000.0,66952000.0,0.48132,0.07552,0.07136,0.07574,0.05797,1.46203,3.71086,0.30647,0.07703,0.77616,0.77063,10.87683,10.24739,1.13476,0.36291,7,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-26.24,-16.36,-68.96
AE,56651000.0,0.0,37264000.0,0.98346,0.00871,0.00548,0.1397,0.04823,1.72439,1.29232,1.89674,0.0,5.12377,5.12377,935.59672,36.67611,8.83536,0.65985,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,4.49,-42.76,-62.08
AEE,1850000000.0,6406000000.0,716000000.0,0.67814,0.20281,0.05053,0.04412,0.01402,2.42712,0.8013,2.14717,0.30444,1.21599,1.20654,24.0643,26.97444,2.95136,1.59934,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,2.14,40.24,76.16
AEO,275102000.0,13293000.0,-18465000.0,0.33698,0.04267,0.0251,0.07116,0.04898,-0.22252,2.12409,0.45275,0.00785,0.43041,0.4267,17.1461,6.04858,-0.09577,0.37489,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,31.52,11.02,-33.55
AEP,4761400000.0,19134000000.0,5333200000.0,0.62473,0.20582,0.09994,0.09204,0.02624,3.6023,0.70517,2.50702,0.33917,3.04242,3.03979,30.44165,33.05457,10.95969,1.96108,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,12.42,37.87,61.91
AES,4321000000.0,21049000000.0,2332000000.0,0.20433,0.19049,0.00717,0.01475,0.00282,20.45614,1.01124,4.22849,0.52087,0.15343,0.15241,21.38762,5.82773,3.13863,0.16016,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-9.3,-18.17,-6.61
AGCO,1160100000.0,1049000000.0,924400000.0,0.22162,0.0835,0.05536,0.14765,0.07077,1.54789,1.60637,1.08633,0.12431,6.13772,6.00805,110.86228,41.2148,9.50051,0.39979,8,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-12.74,9.35,-14.49
AGN_old,2075300000.0,2153900000.0,2408700000.0,0.87369,0.28898,0.15636,0.15227,0.09316,2.44513,4.27526,0.63448,0.20369,3.31907,3.26408,21.22776,21.77628,8.11557,0.20013,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,48.29,15.98,-15.75
AGX,66722000.0,0.0,145055000.0,0.34665,0.28986,0.17641,0.25431,0.12411,3.61508,1.80685,1.04913,0.0,2.85141,2.78124,16.16366,11.10773,10.30806,0.75611,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,18.38,118.38,23.99
AIMC,100614000.0,278272000.0,102494000.0,0.29822,0.10065,0.05577,0.14899,0.05475,2.54485,2.49302,1.72146,0.37825,1.50471,1.5005,26.98266,10.0625,3.82926,0.282,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-22.78,8.3,-44.2
AIR,175200000.0,708600000.0,129900000.0,0.14354,0.05282,0.03042,0.05982,0.02574,2.36182,2.65733,1.32398,0.3316,1.43603,1.35468,47.20366,23.98433,3.39164,0.3342,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,26.67,29.64,-24.08
AIT,202133000.0,0.0,201211000.0,0.27738,0.07164,0.04799,0.15554,0.1116,1.70303,2.99829,0.39374,0.0,2.80906,2.77723,58.53949,18.06027,4.7839,0.88431,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-9.05,26.37,-1.03
AJG,521400000.0,1455500000.0,344700000.0,0.86247,0.10781,0.08448,0.12879,0.03915,1.28332,0.87543,2.28962,0.21216,2.08379,2.08379,24.66718,16.17921,2.67417,1.4166,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-0.94,18.87,65.7
ALB,717406000.0,1078864000.0,665502000.0,0.35521,0.25479,0.17257,0.23708,0.11526,1.61072,3.39835,1.05695,0.30096,4.92815,4.89992,28.55795,19.41055,7.93786,0.93163,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-17.83,60.68,-10.06
ALCO,21610000.0,36000000.0,34188000.0,0.2132,0.1174,0.19325,0.13764,0.0988,1.7402,5.20364,0.39306,0.18105,2.68645,2.67038,13.90141,19.51812,4.67496,0.28005,4,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,33.46,-32.52,-24.27
ALE,271700000.0,1110200000.0,-30600000.0,0.56962,0.15132,0.10281,0.07797,0.03011,-0.29226,1.33362,1.58902,0.31932,2.63728,2.63065,25.65239,33.8262,-0.77078,1.89421,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,1.2,31.1,16.75
ALG,59635000.0,428000.0,47856000.0,0.23239,0.07438,0.05292,0.10299,0.08232,1.32587,4.17947,0.25113,0.00098,2.99535,2.95562,56.60498,29.08423,3.97145,0.27975,7,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,18.59,42.5,68.78
ALGT,224001000.0,234300000.0,131841000.0,0.61295,0.15534,0.09263,0.24455,0.0992,1.42881,1.46469,1.46528,0.25188,4.87289,4.84373,52.60615,19.84279,6.96245,0.0,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,76.05,48.77,-13.72
ALK,1108000000.0,871000000.0,1006000000.0,0.31226,0.16253,0.09853,0.25037,0.08702,1.98031,1.11519,1.87728,0.14919,3.63091,3.58054,36.85226,14.50218,7.19034,0.20013,8,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,41.89,104.2,-30.66
ALOT,2812000.0,250000.0,-5062000.0,0.39338,0.02235,0.04683,0.04822,0.0412,-1.57597,6.5744,0.17038,0.00321,0.42999,0.41731,9.18233,8.91754,-0.67764,0.28153,4,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,22.27,27.2,-23.94
ALSN,613900000.0,2678300000.0,651600000.0,0.43694,0.21274,0.08584,0.11494,0.03437,3.93954,1.56741,2.34454,0.55652,0.89648,0.88026,10.44336,7.79946,3.53171,0.41789,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,6.57,18.37,11.4
ALV,1047400000.0,618500000.0,929000000.0,0.19363,0.08649,0.05518,0.12144,0.06957,1.91231,1.52374,0.74558,0.08857,3.66492,3.64964,66.41369,30.03531,7.00846,1.44092,4,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,16.71,3.09,-32.86
AMAT,1190000000.0,1946000000.0,673000000.0,0.39832,0.10388,0.03409,0.03612,0.02126,2.62891,2.30946,0.69907,0.16159,0.21298,0.21001,6.24709,5.89684,0.5599,0.37937,7,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,13.34,93.61,140.18
AME,933736000.0,1415065000.0,1106271000.0,0.35349,0.22678,0.14385,0.16485,0.08796,2.13979,1.56553,0.87426,0.24074,2.11959,2.10107,14.7352,12.85743,4.53548,0.23945,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,0.27,2.07,33.26
AMGN,7153000000.0,32128000000.0,6271000000.0,0.82084,0.31415,0.27206,0.22995,0.07684,1.23421,3.44369,1.99262,0.48587,6.74768,6.64183,24.80212,29.34396,8.32802,1.87915,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,32.93,35.83,60.27
AMOT,11884000.0,87645000.0,13484000.0,0.29101,0.07148,0.0315,0.08235,0.02312,3.41108,1.52251,2.5618,0.51261,0.29835,0.29811,9.47221,3.623,1.0177,0.0671,4,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,187.32,71.15,129.62
AMSWA,17937000.0,0.0,5680000.0,0.54652,0.1372,0.00987,0.01192,0.00877,5.72581,2.80878,0.3583,0.0,0.03651,0.0359,3.69731,3.06348,0.20903,0.56935,4,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,4.24,2.02,31.01
AMT,2014450000.0,14478278000.0,1529370000.0,0.74419,0.36125,0.16402,0.15357,0.02718,2.77395,1.05728,4.64998,0.71379,1.39564,1.38128,8.50903,8.94635,3.87143,1.10036,4,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,18.71,47.11,167.89
ANDE,142099000.0,427211000.0,360824000.0,0.06517,0.01549,0.01605,0.12415,0.03956,4.01187,1.23122,2.13845,0.1879,3.21371,3.19091,200.26349,25.06518,12.89302,0.42829,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-29.38,-33.58,-69.3
ANF,598478000.0,271393000.0,609209000.0,0.62444,0.08296,0.05254,0.13035,0.07934,2.57038,1.8932,0.64299,0.09085,2.89249,2.84955,55.0501,22.19024,7.43482,0.70337,7,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-42.21,-70.27,-75.05
AOS,309000000.0,191900000.0,292200000.0,0.35927,0.11575,0.07879,0.12772,0.07096,1.72186,2.04028,0.79988,0.08024,0.9211,0.91445,11.69042,7.21193,1.58601,0.23122,8,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,43.92,126.43,62.3
AP,24026000.0,0.0,31179000.0,0.22668,0.04513,0.04425,0.05292,0.02474,2.50696,2.84729,1.13908,0.0,1.20071,1.19512,27.13362,22.68729,3.01014,0.71973,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-6.33,-27.13,-85.48
APD,2243800000.0,6273600000.0,819700000.0,0.26603,0.13131,0.09766,0.13125,0.0557,0.82448,1.06553,1.35654,0.35146,4.74106,4.683,48.54745,33.58178,3.90892,2.69719,4,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,26.85,12.24,63.75
APH,1039300000.0,2132800000.0,1071300000.0,0.31439,0.19564,0.13776,0.22072,0.10306,1.68523,1.96136,1.14159,0.34578,0.9989,0.97951,7.25126,4.49324,1.68338,0.15211,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,25.36,53.38,65.53
APOG,66835000.0,28685000.0,32599000.0,0.21421,0.05222,0.03628,0.07859,0.0491,1.16483,1.80825,0.60064,0.05033,0.98255,0.95275,27.0844,12.50233,1.14451,0.37791,7,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,36.04,77.44,-34.94
APTV,2263000000.0,2412000000.0,1812000000.0,0.18451,0.1172,0.08053,0.35294,0.10971,1.49505,1.47714,2.21695,0.21834,3.89936,3.88711,48.42352,9.36555,5.82974,0.67885,8,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,17.58,19.58,-20.52
ARLP,708429000.0,886423000.0,388586000.0,0.351,0.20109,0.17841,0.46226,0.18544,0.98754,1.51451,1.49272,0.41775,5.35115,5.35115,29.99384,11.57613,5.28445,3.92254,7,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-21.9,-50.19,-91.16
ASH,1331000000.0,3267000000.0,1271000000.0,0.29338,0.16007,0.11213,0.15001,0.0565,1.86091,1.66358,1.65495,0.27027,8.75641,8.5375,78.08974,58.37179,16.29487,1.12821,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,29.42,23.25,-49.7
ATI,98600000.0,1947300000.0,-345900000.0,0.06247,-0.02258,0.03809,0.05142,0.02232,-2.2461,2.43666,1.30357,0.28228,1.44195,1.44195,37.86049,27.09925,-3.23876,0.72004,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-19.24,-55.47,-78.47
ATO,739486000.0,2823655000.0,12838000.0,0.36436,0.1295,0.06275,0.09425,0.03065,0.05279,0.69202,2.07481,0.35588,2.68625,2.65174,42.80715,28.50241,0.1418,1.41512,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,17.85,75.05,102.66
ATR,446330000.0,494584000.0,310789000.0,0.32185,0.11761,0.06825,0.11619,0.06886,1.80698,2.20775,0.68733,0.19801,2.60242,2.52161,38.13002,22.39003,4.70251,1.00065,7,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-0.58,19.57,49.12
ATVI,1480000000.0,4693000000.0,1380000000.0,0.66594,0.29937,0.22038,0.15252,0.07208,1.36634,2.59501,1.11598,0.33493,0.98633,0.97585,4.47559,6.4668,1.34766,0.21094,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,7.56,133.21,170.57
AVA,364278000.0,1559168000.0,70980000.0,0.1875,0.16028,0.07704,0.08326,0.02547,0.63902,0.87901,2.26943,0.35745,1.85252,1.85138,24.0451,21.6522,1.18379,1.22208,7,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,10.93,33.59,30.74
AVGO_old,741000000.0,0.0,452000000.0,0.4754,0.21984,0.21905,0.19127,0.16164,0.81884,4.3913,0.1833,0.0,2.23482,2.19048,10.20243,11.68421,1.82996,0.80162,4,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,99.12,245.44,271.2
AVNT,301700000.0,988900000.0,384700000.0,0.17559,0.05425,0.06465,0.24916,0.08281,1.57793,2.05879,2.00879,0.33589,2.55288,2.52642,39.48901,10.22827,4.02827,0.22513,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,0.96,-10.04,-51.33
AVP,769600000.0,2720700000.0,671500000.0,0.62659,0.06848,-0.00664,-0.05002,-0.00869,-11.90603,1.53591,4.75814,0.41907,-0.13013,-0.12989,19.60498,2.56138,1.54938,0.24642,4,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-45.94,-70.92,
AVY,668100000.0,1164800000.0,545000000.0,0.26673,0.07549,0.03472,0.14288,0.04624,2.55629,1.34599,2.0898,0.25264,2.16667,2.12987,62.39837,15.16463,5.53862,1.13821,8,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,5.27,59.14,98.57
AWI,315100000.0,1066500000.0,174900000.0,0.23463,0.08155,0.03723,0.13978,0.03226,1.85866,2.15138,3.33244,0.36567,1.62803,1.6113,43.72664,11.64706,3.02595,0.02422,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,7.97,-15.09,57.06
AXTI,-2192000.0,0.0,-3560000.0,0.13861,-0.08979,-0.09326,-0.05468,-0.04858,0.44735,6.45274,0.12557,0.0,-0.24336,-0.24336,2.60963,4.16318,-0.10887,0.07122,3,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,15.32,152.25,27.93
AYI,262300000.0,360600000.0,246900000.0,0.40094,0.10603,0.06098,0.12823,0.06692,1.93799,2.37273,0.91626,0.18941,3.01896,2.99765,49.50474,23.54265,5.85071,0.53081,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,24.76,49.62,-37.86
AZZ,143419000.0,405616000.0,149028000.0,0.27364,0.13318,0.07928,0.15854,0.06252,2.5006,2.05658,1.53583,0.42551,2.33582,2.31954,29.46271,14.73337,5.84094,0.56008,4,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,8.04,31.91,-36.19
BA,8172000000.0,9635000000.0,8709000000.0,0.15417,0.07305,0.05293,0.30573,0.04948,1.89945,1.26392,5.17877,0.10398,6.02655,5.97316,113.85778,19.55179,11.44716,1.92823,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,20.8,41.75,39.83
BAH,532938000.0,1658919000.0,720620000.0,0.50424,0.08407,0.04238,1.35279,0.07895,3.10361,1.3695,16.13404,0.5641,1.64306,1.56165,38.76949,1.21457,5.0994,2.44704,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,29.95,63.64,203.55
BAX,1131000000.0,9166000000.0,627000000.0,0.44215,0.05269,0.21375,0.2371,0.07977,0.31163,1.94264,1.97243,0.36338,3.70534,3.66485,17.33517,15.58564,1.1547,1.88398,4,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-9.65,-31.57,3.07
BBGI,10784915.0,106875000.0,7017484.0,0.33592,0.15267,0.20582,0.12332,0.0437,0.60777,2.50426,1.82196,0.40451,0.50785,0.50557,2.46739,4.11801,0.30865,0.0,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-44.93,37.67,-78.08
BBSI,23062000.0,5273000.0,79092000.0,0.15364,0.03916,0.02919,0.21602,0.05002,5.04639,1.37888,3.31853,0.01683,2.20591,2.11883,75.57579,10.21154,11.13188,0.57087,7,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-29.72,-12.55,-37.71
BBY,1912000000.0,2296000000.0,1112000000.0,0.23588,0.02923,-0.01153,-0.11871,-0.02627,-2.52154,1.11443,3.51871,0.13677,-1.30242,-1.30242,112.97106,9.04017,3.28411,0.66155,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,50.12,75.19,135.19
BC,369700000.0,459800000.0,-326300000.0,0.26372,0.08287,0.21368,0.74076,0.2638,-0.42421,1.7083,1.80797,0.15769,8.43421,8.20043,39.47039,11.38596,-3.57785,0.09978,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,12.5,34.16,-21.11
BCO,329000000.0,436000000.0,125100000.0,0.19039,0.04319,0.01503,0.07287,0.02274,2.20246,1.38079,2.20462,0.17454,1.16632,1.15918,77.58932,14.24846,2.56879,0.39425,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,1.57,77.94,85.34
BCPC,76076000.0,3877000.0,84764000.0,0.28893,0.19456,0.13309,0.13542,0.11907,1.88893,7.76925,0.13736,0.01029,1.51479,1.45472,11.38177,11.18548,2.86133,0.0,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,8.3,52.74,80.45
BDX,1801000000.0,3970000000.0,1623000000.0,0.51788,0.15582,0.16067,0.25664,0.1065,1.25425,2.75728,1.40936,0.32675,6.63056,6.49621,41.26934,25.83561,8.31638,1.97789,8,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,25.1,59.52,85.2
BF-A,948000000.0,1002000000.0,1009000000.0,0.51665,0.23705,0.15618,0.36302,0.16299,1.70728,3.84989,1.22727,0.27634,1.10794,1.09961,7.09381,3.05199,1.89156,1.99279,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,1.13,7.27,41.84
BG,1769000000.0,4644000000.0,2714000000.0,0.04499,0.01958,0.00375,0.02272,0.00859,11.8,1.41779,1.64504,0.17341,1.56246,1.55136,416.74795,62.27409,18.43699,1.36545,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,2.03,3.01,-53.3
BGCP,-297530000.0,0.0,-262202000.0,0.03772,-0.19753,0.04064,0.09215,0.03411,-3.69694,1.17015,1.70165,0.0,0.23548,0.17189,5.79354,1.54176,-0.87054,0.30344,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,42.11,63.64,-42.11
BGG,15189000.0,225300000.0,49551000.0,0.17672,-0.02178,-0.01807,-0.05039,-0.02325,-1.47223,3.12635,1.16719,0.15564,-0.7135,-0.7135,39.48313,14.15963,1.05043,0.49362,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-10.93,-1.96,-90.52
BGS,167858000.0,870885000.0,184648000.0,0.35238,0.23509,0.0935,0.15662,0.03992,3.1159,1.69913,2.92307,0.58671,1.11815,1.11428,11.95911,7.13916,3.48404,0.94646,4,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-3.86,34.07,-45.35
BIG,407372000.0,171200000.0,375049000.0,0.3942,0.05981,0.03398,0.23363,0.101,2.11747,1.73217,1.31306,0.09763,2.95932,2.92878,87.08678,12.66695,6.26627,0.0,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,31.71,29.09,-63.88
BKE,289625000.0,0.0,333540000.0,0.4425,0.22783,0.14413,0.44921,0.29761,2.05149,2.77301,0.50939,0.0,3.40533,3.38886,23.62603,7.58064,6.98601,2.03468,4,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,7.42,-62.37,-63.31
BLKB,98200000.0,152908000.0,89132000.0,0.5382,0.10924,0.06048,0.18863,0.04312,2.92505,0.64418,3.3741,0.2164,0.68193,0.67088,11.2749,3.61519,1.99468,0.49415,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,45.03,139.88,72.52
BLL,1174100000.0,3605100000.0,1009100000.0,0.18808,0.10323,0.04804,0.28729,0.05202,2.48058,1.28199,4.52288,0.46099,1.39369,1.36306,29.01167,4.19547,3.45717,0.25763,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,31.34,36.83,129.54
BMI,52601000.0,70045000.0,44147000.0,0.35014,0.11704,0.07368,0.12524,0.07789,1.79335,1.29704,0.60792,0.22162,0.85702,0.85239,11.63215,6.84316,1.53694,0.34828,4,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,11.46,33.36,95.27
BMY,3859000000.0,8340000000.0,3827000000.0,0.7181,0.18895,0.15642,0.16822,0.06641,1.49317,1.52058,1.53295,0.21611,1.559,1.54212,9.96655,9.21776,2.32786,1.4045,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,24.03,5.78,-2.76
BOOM,23246000.0,2907000.0,18869000.0,0.28771,0.05433,0.03197,0.03733,0.02685,2.92135,3.38427,0.3902,0.01209,0.47726,0.47712,14.93029,12.78517,1.39424,0.1616,4,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-28.75,-35.49,24.8
BR,387000000.0,524500000.0,364600000.0,0.27275,0.13962,0.08726,0.25993,0.10509,1.719,1.71885,1.47328,0.25989,1.73995,1.69139,19.94094,6.69401,2.99098,0.70386,8,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,44.67,84.65,160.07
BRC,-33831000.0,111877000.0,-27931000.0,0.5263,-0.0713,-0.13347,-0.18601,-0.10741,0.18074,0.97683,0.73169,0.07776,-3.01062,-3.01062,22.55585,16.18541,-0.54415,0.76452,4,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,5.95,45.24,67.34
BRID,5321000.0,0.0,-142000.0,0.35222,0.02391,0.0226,0.08716,0.04503,-0.0487,2.58251,0.93585,0.0,0.31862,0.31862,14.0957,3.65551,-0.01552,0.05004,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-22.19,10.26,101.78
BRKS,13737000.0,0.0,47277000.0,0.3132,-0.02466,-0.00524,-0.0035,-0.00301,-21.34402,3.83087,0.16456,0.0,-0.03361,-0.03361,6.40915,9.58787,0.71727,0.32358,2,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,7.95,93.62,170.7
BRO,461999000.0,480000000.0,629430000.0,0.499,0.27623,0.15926,0.10817,0.05949,2.8991,1.02333,0.81826,0.13152,0.76972,0.76113,4.83319,7.11586,2.2315,0.18984,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,6.47,37.67,125.05
BSET,16203000.0,2467000.0,2691000.0,0.51665,0.03114,0.01586,0.03237,0.02256,0.52806,2.45668,0.43479,0.01092,0.4753,0.4687,29.96609,14.68141,0.25099,0.27375,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,80.31,64.04,-57.35
